,Price,Room type,Person capacity,Longitude,Latitude,City,Neighbourhood
0,194.03,Private room,2,4.90569,52.41772,Amsterdam,Noord-West
1,344.25,Private room,4,4.90005,52.37432,Amsterdam,Centrum-West
2,264.1,Private room,2,4.97512,52.36103,Amsterdam,IJburg - Zeeburgereiland
3,433.53,Private room,4,4.89417,52.37663,Amsterdam,Centrum-West
4,485.55,Private room,2,4.90051,52.37508,Amsterdam,Centrum-West
5,552.81,Private room,3,4.87699,52.38966,Amsterdam,Westerpark
6,215.12,Private room,2,4.9157,52.38296,Amsterdam,Oud-Noord
7,2771.31,Entire home,4,4.88467,52.38749,Amsterdam,Centrum-West
8,276.52,Private room,2,4.876,52.347,Amsterdam,Zuid
9,909.47,Entire home,2,4.87956,52.36953,Amsterdam,Centrum-West
10,319.64,Private room,2,4.92496,52.37107,Amsterdam,Centrum-Oost
11,675.6,Entire home,4,4.88934,52.34697,Amsterdam,De Pijp - Rivierenbuurt
12,552.81,Entire home,2,4.87417,52.37509,Amsterdam,Westerpark
13,209.03,Private room,2,4.99679,52.35645,Amsterdam,IJburg - Zeeburgereiland
14,368.85,Private room,2,4.9080900000000005,52.37455,Amsterdam,Centrum-Oost
15,368.85,Private room,2,4.88971,52.36148,Amsterdam,Centrum-Oost
16,337.92,Private room,2,4.88368,52.362390000000005,Amsterdam,Centrum-Oost
17,313.55,Private room,2,4.8839,52.3631,Amsterdam,Centrum-Oost
18,447.59,Entire home,2,4.87757,52.37336,Amsterdam,Centrum-West
19,243.25,Private room,2,4.85206,52.367340000000006,Amsterdam,De Baarsjes - Oud-West
20,933.85,Entire home,4,4.89088,52.36422,Amsterdam,Centrum-Oost
21,251.92,Private room,2,4.886419999999999,52.38367,Amsterdam,Centrum-West
22,377.29,Private room,2,4.88799,52.38325,Amsterdam,Centrum-West
23,245.59,Private room,2,4.89595,52.41122,Amsterdam,Noord-West
24,217.7,Private room,2,4.89375,52.41081,Amsterdam,Noord-West
25,295.03,Private room,2,4.895,52.343,Amsterdam,De Pijp - Rivierenbuurt
26,295.03,Private room,2,4.84631,52.34966,Amsterdam,Zuid
27,1032.97,Entire home,4,4.92432,52.37676,Amsterdam,Oostelijk Havengebied - Indische Buurt
28,270.43,Private room,4,4.82174,52.37781,Amsterdam,Geuzenveld - Slotermeer
29,524.69,Entire home,2,4.87657,52.37288,Amsterdam,Centrum-West
30,599.68,Entire home,4,4.90806,52.34442,Amsterdam,De Pijp - Rivierenbuurt
31,516.02,Entire home,4,4.888809999999999,52.36397,Amsterdam,Centrum-Oost
32,602.25,Entire home,3,4.86021,52.34502,Amsterdam,Zuid
33,504.07,Entire home,4,4.94798,52.38786,Amsterdam,Oud-Noord
34,1609.92,Entire home,6,4.86225,52.35413,Amsterdam,Zuid
35,310.97,Entire home,2,4.92058,52.33997,Amsterdam,Watergraafsmeer
36,202.7,Private room,2,4.885,52.42343,Amsterdam,Noord-West
37,796.29,Entire home,4,4.8588,52.35848,Amsterdam,De Baarsjes - Oud-West
38,504.07,Private room,2,4.98597,52.36376,Amsterdam,IJburg - Zeeburgereiland
39,319.64,Private room,2,4.90032,52.37525,Amsterdam,Centrum-West
40,614.44,Private room,4,4.8996900000000005,52.37513,Amsterdam,Centrum-West
41,467.04,Private room,3,4.90027,52.37469,Amsterdam,Centrum-West
42,716.38,Entire home,5,4.841,52.38253,Amsterdam,Bos en Lommer
43,350.1,Private room,2,4.88774,52.382540000000006,Amsterdam,Centrum-West
44,319.64,Private room,2,4.89831,52.37457,Amsterdam,Centrum-West
45,467.04,Private room,3,4.90002,52.37341,Amsterdam,Centrum-West
46,983.29,Entire home,3,4.87317,52.36917,Amsterdam,De Baarsjes - Oud-West
47,298.78,Private room,2,4.93986,52.348290000000006,Amsterdam,Watergraafsmeer
48,196.61,Private room,4,4.96617,52.40648,Amsterdam,Noord-Oost
49,430.25,Entire home,2,4.84941,52.37788,Amsterdam,Bos en Lommer
50,319.64,Private room,2,4.89843,52.3734,Amsterdam,Centrum-West
51,405.64,Private room,4,4.82115,52.38375,Amsterdam,Geuzenveld - Slotermeer
52,334.17,Private room,2,4.881,52.36600000000001,Amsterdam,Centrum-West
53,491.88,Private room,2,4.89861,52.37326,Amsterdam,Centrum-West
54,319.64,Private room,2,4.89837,52.37355,Amsterdam,Centrum-West
55,780.35,Private room,4,4.91319,52.37075,Amsterdam,Centrum-Oost
56,355.03,Entire home,2,4.91113,52.36575,Amsterdam,Centrum-Oost
57,1044.69,Entire home,4,4.9075,52.36296,Amsterdam,Centrum-Oost
58,847.84,Entire home,4,4.876519999999999,52.36806,Amsterdam,De Baarsjes - Oud-West
